company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
SOUTHERN NATURAL GAS COMPANY LLC,11,1,0,0,0,0,0,0,0,0
EXPRESS OIL CHANGE LLC,11,8,4,0,0,0,0,4,2,4
DILTINA DEVELOPMENT CORP,10,9,7,0,3,0,0,7,5,2
HUFHAM FARRIS CONSTRUCTION LLC,10,5,3,1,1,0,1,2,1,2
JEFF BENTON HOMES,10,5,3,0,2,0,2,2,1,2
LOVES TRAVEL STOPS AND COUNTRY STORES INC,10,9,7,1,0,1,2,7,2,6
NORTHPORT CITY OF,10,3,1,1,0,0,1,0,0,1
POARCH BAND OF CREEK INDIANS,10,6,5,0,1,0,1,5,0,5
RANDOLPH COUNTY COMMISSION,10,3,3,0,0,0,0,3,0,3
RETIREMENT SYSTEMS OF ALABAMA,10,8,6,3,1,2,1,5,4,3
WASHINGTON COUNTY COMMISSION,10,10,7,0,0,0,0,7,6,2
CLEVELAND BROTHERS INC,10,4,2,1,0,1,2,0,3,1
CORNERSTONE CIVIL CONTRACTORS LLC,10,3,3,1,1,0,2,3,1,2
ENFINGER DEVELOPMENT,10,9,7,0,2,0,1,6,5,3
GRAYSON CARTER AND SON CONTRACTING,10,7,6,0,0,0,1,6,3,4
HARTSELLE CITY OF,10,7,6,0,0,0,0,6,1,5
M4 DEVELOPMENT LLC,10,9,2,0,1,0,1,2,5,1
ROGERS GROUP INC,10,6,3,0,0,0,0,3,0,3
UNIVERSITY OF NORTH ALABAMA,10,9,8,0,1,0,1,8,0,8
SARALAND CITY OF,10,6,4,1,1,1,1,4,2,3
SOUTHERN NATURAL GAS CO,10,2,1,0,0,0,0,1,0,1
UNIVERSITY OF ALABAMA AT BIRMINGHAM,10,2,2,0,0,0,0,2,0,2
WESTROCK COATED BOARD LLC,10,6,3,0,0,1,1,3,1,2
BRADFORD BUILDING COMPANY INC,10,7,5,0,3,0,2,5,2,3
DELTA LAND COMPANY LLC,10,7,2,1,1,1,2,2,5,1
FORESTRY ENVIRONMENTAL SERVICES INC,10,4,4,1,1,0,3,3,2,2
ALABAMA DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES,10,6,4,1,0,0,0,4,1,3
DUNCAN AND THOMPSON CONSTRUCTION SERVICES LLC,10,8,7,0,0,0,1,7,0,7
AUTOZONE DEVELOPMENT LLC,10,7,6,0,0,0,0,6,1,5
J T HARRISON CONSTRUCTION CO INC,10,1,1,1,0,0,0,0,0,1
BOYD ENGINEERING LLC,10,5,3,1,1,0,2,2,3,1
HUNTSVILLE UTILITIES,10,0,0,0,0,0,0,0,0,0
DR HORTON INC BALDWIN DIVISION,10,8,6,2,1,0,0,5,1,5
ALABAMA GAS CORPORATION,9,2,2,0,0,0,0,2,0,2
APEL MACHINE AND SUPPLY CO INC,9,4,3,1,0,0,0,3,1,3
BIRMINGHAM CITY OF WATER WORKS SEWER BD,9,3,3,1,0,0,2,3,1,2
BOB MORROW CONSTRUCTION CO INC,9,8,2,1,0,0,2,1,2,1
BRELAND HOMES INC,9,4,1,0,0,0,1,1,1,0
DILWORTH DEVELOPMENT INC,9,6,1,0,0,0,0,1,3,1
F AND D ENTERPRISES INC,9,3,3,0,0,0,0,3,0,3
HILCORP ENERGY COMPANY,9,0,0,0,0,0,0,0,0,0
JOHNSONKREIS CONSTRUCTION CO INC,9,6,6,3,3,0,2,6,1,5
LAKE MARTIN SIGNATURE CONSTRUCTION LLC,9,2,1,0,0,0,0,1,0,1
LIBERTY PARK JOINT VENTURE LLP,9,6,3,1,3,0,2,3,2,1
LINCOLN CITY OF,9,4,4,0,2,0,3,4,3,1
TROY UNIVERSITY,9,6,1,0,0,1,1,1,3,0
WAR CONSTRUCTION INC,9,5,5,2,2,0,3,5,1,4
BILL YANCE CONSTRUCTION LLC,9,9,8,2,0,0,0,8,2,6
BOOS DEVELOPMENT GROUP INC,9,6,6,0,0,0,0,6,0,6
CIVILWORX CONSTRUCTION LLC,9,1,1,1,1,0,1,1,1,0
GARDENDALE CITY OF,9,4,4,0,0,0,0,4,0,4
MOUNTAIN BROOK CITY OF,9,3,3,0,0,0,0,3,0,3
SAMFORD UNIVERSITY,9,1,1,1,0,0,1,1,0,1
SCF ERECTIONS LLC,9,6,5,0,0,1,3,2,1,4
VESTAVIA HILLS CITY OF,9,7,6,1,2,0,1,6,1,5
ALABAMA RIVER CELLULOSE LLC,9,5,3,0,0,0,0,3,0,3
BELL CONTRACTING LLC,9,4,0,0,0,0,0,0,0,0
INCO GROUP LLC,9,4,1,1,0,1,0,0,0,1
MOBILE AREA WATER AND SEWER SYSTEM,9,2,0,0,0,0,0,0,1,0
BAY MINETTE CITY OF,9,5,3,1,0,1,1,3,1,2
FITE BUILDING COMPANY,9,9,6,0,0,0,0,6,2,4
IRONDALE CITY OF,9,6,5,1,0,0,2,4,2,3
NEWCASTLE DEVELOPMENT LLC,9,5,3,2,2,0,2,3,3,1
TRAX DEVELOPMENT LLC,9,6,6,5,3,1,4,6,5,1
WAL MART REAL ESTATE BUSINESS TRUST,9,7,3,0,0,0,0,3,0,3
JOHNSON KREIS CONSTRUCTION,9,7,5,0,0,1,1,5,1,4
